qid,query,n_words,n_verbs,n_nouns,verbs,nouns,split
4792,A young Asian couple sharing wired earplug headphones,8,1,4,wired,couple|sharing|earplug|headphones,val
8462,a young woman dances in defferent outfits,7,0,4,,woman|dances|defferent|outfits,val
1264,The woman is sitting on the olive green yoga mat with her dog while speaking about yoga.,17,2,5,sitting|speaking,woman|yoga|mat|dog|yoga,val
1505,A woman talks about yoga and leads people through breathing exercise.,11,2,5,talks|leads,woman|yoga|people|breathing|exercise,val
635,Man and woman are wearing black jackets outside.,8,1,3,wearing,Man|woman|jackets,val
5488,Dogs are pulling the bobsled.,5,1,2,pulling,Dogs|bobsled,val
8187,Rams and moose are on the side of the road.,10,0,4,,Rams|moose|side|road,val
942,The Colosseum shown from many angles.,6,1,2,shown,Colosseum|angles,val
4691,A historical looking city located on an island is coming into view.,12,3,3,looking|located|coming,city|island|view,val
8052,Overhead view of the buildings of Zagreb.,7,0,3,,view|buildings|Zagreb,val
1136,Two kids and a man walking and carrying suitcases through a tunnel.,12,2,4,walking|carrying,kids|man|suitcases|tunnel,val
1874,Woman talks while looking at herself in the mirror.,9,2,2,talks|looking,Woman|mirror,val
5510,Baby is strapped in a car seat.,7,1,3,strapped,Baby|car|seat,val
4283,Woman uses the bottle on her face and wipes it down.,11,2,3,uses|wipes,Woman|bottle|face,val
4548,A woman in a black dress giving a tour of her hotel room.,13,1,5,giving,woman|dress|tour|hotel|room,val
7990,A view from the window as the plane accelerates and takes off from the runway.,15,2,4,accelerates|takes,view|window|plane|runway,val
9462,Crowds of people at a rally are holding up pink signs that read Women for Trump.,16,2,6,holding|read,Crowds|people|rally|signs|Women|Trump,val
9774,Woman puts items into plastic bags.,6,1,3,puts,Woman|items|bags,val
2435,Man is wearing a yellow blanket around himself.,8,1,2,wearing,Man|blanket,val
2875,A video blogger talking and eating,6,2,2,talking|eating,video|blogger,val
3938,A man shaves his beard looks in a mirror and talks to the camera.,14,2,5,shaves|looks,man|beard|mirror|talks|camera,val
8312,A guy with grey top is showing a box filled with rubbish.,12,2,4,showing|filled,guy|top|box|rubbish,val
9979,Man in maroon robe has a golden building over his shoulder.,11,1,5,has,Man|maroon|robe|building|shoulder,val
2658,A group of people stand around a table and take turns running their hands around the base of a mound of dirt on the table.,25,3,9,stand|take|running,group|people|table|turns|hands|base|mound|dirt|table,val
3826,A group of people pose for group photos.,8,1,4,pose,group|people|group|photos,val
5353,A group is standing around a white table.,8,1,2,standing,group|table,val
8341,A group of girls are playing a searching game while camping in the wild.,14,2,5,playing|camping,group|girls|searching|game|wild,val
8628,Some girls talk under a yellow canopy,7,1,2,talk,girls|canopy,val
3915,Man in white top sits in a a van backseat.,10,1,4,sits,Man|top|van|backseat,val
6240,Liverpool player is interviewed next to a logo wall.,9,1,4,interviewed,Liverpool|player|logo|wall,val
298,Man reads a piece of paper to his kid.,9,1,4,reads,Man|piece|paper|kid,val
2851,Little american girl playing with her toys,7,1,2,playing,girl|toys,val
5256,Man stands on playground balance bridge.,6,1,4,stands,Man|playground|balance|bridge,val
7527,Girl messes with her hands on the couch.,8,1,3,messes,Girl|hands|couch,val
8671,Multiple kids with white tops are playing in back garden.,10,1,3,playing,kids|tops|garden,val
4707,Vlogger goes on a tour of the pier.,8,1,3,goes,Vlogger|tour|pier,val
6337,A woman in sunglasses takes a boat ride on a pirate ship,12,2,5,takes|ride,woman|sunglasses|boat|pirate|ship,val
7940,Man in gray throws pottery on a wheel.,8,0,4,,Man|throws|pottery|wheel,val
9053,"The boat in the ocean in red, white, and blue.",10,0,2,,boat|ocean,val
2132,Teen girl girl wears mouse ears while a teen boy talks beside her.,13,2,6,wears|talks,girl|girl|mouse|ears|teen|boy,val
3054,A couple's selfie video from a house,7,0,4,,couple|selfie|video|house,val
8193,Brother and sister talk next to a large window.,9,1,3,talk,Brother|sister|window,val
4758,Woman in glasses wears a shirt with soccer balls.,9,1,5,wears,Woman|glasses|shirt|soccer|balls,val
6807,Somebody is passed out in the back of a moving car with a white mask over their face.,18,2,4,passed|moving,back|car|mask|face,val
7653,Woman in floral cup is eating from a cup.,9,1,3,eating,Woman|cup|cup,val
9692,The ruins of a wooden building are being shown with beams laying everywhere.,13,2,3,shown|laying,ruins|building|beams,val
9899,Man with headphones having a video interview,7,1,4,having,Man|headphones|video|interview,val
10189,Man in black shirt speaks in front of a tree at night.,12,1,5,speaks,Man|shirt|front|tree|night,val
2244,The curly haired woman has a laptop with a YouTube logo on it.,13,1,4,has,woman|laptop|YouTube|logo,val
5862,Woman holds up a eats a sandwich.,7,1,3,holds,Woman|eats|sandwich,val
7924,Woman in pink bathing suit is lounging in the pool.,10,1,4,lounging,Woman|bathing|suit|pool,val
538,The vlogger is petting a lizard.,6,1,2,petting,vlogger|lizard,val
3834,A woman showing how to repurpose egg cartons.,8,2,3,showing|repurpose,woman|egg|cartons,val
5331,Woman in a black coat grooms a horse,8,1,3,grooms,Woman|coat|horse,val
7547,Jockey rides a black horse around a stable.,8,1,3,rides,Jockey|horse|stable,val
8370,Jockey is riding a horse around a stable.,8,1,3,riding,Jockey|horse|stable,val
255,Girls having fun out side shop,6,1,4,having,Girls|fun|side|shop,val
5084,Two girls are comparing the shoes they are wearing together.,10,2,2,comparing|wearing,girls|shoes,val
993,Father holds onto his father.,5,1,2,holds,Father|father,val
2043,People walk across the street at night then talk in front of a store building.,15,2,6,walk|talk,People|street|night|front|store|building,val
2125,Three men are hanging out on a desert road.,9,1,3,hanging,men|desert|road,val
1303,An Asian woman eating french fries and talking at the same time,12,2,3,eating|talking,woman|fries|time,val
2511,Asian couple playing alphabet games in some public area,9,1,4,playing,couple|alphabet|games|area,val
3793,People many kids of foods in a airport.,8,0,4,,People|kids|foods|airport,val
7285,A man in white is browsing through clothes at a department store.,12,1,4,browsing,man|clothes|department|store,val
7291,The vloggers go grocery shopping.,5,1,3,go,vloggers|grocery|shopping,val
884,Credits roll in the video.,5,1,2,roll,Credits|video,val
2253,Asian man has his mask on his chin when talking.,10,2,3,has|talking,man|mask|chin,val
5688,Man stands in front of a white building monologuing.,9,1,4,stands,Man|front|building|monologuing,val
4413,Woman walks around town with purple mirrored sunglasses.,8,2,3,walks|mirrored,Woman|town|sunglasses,val
6831,"On their last day in Antiguilla, a couple go to a water park in the ocean",16,1,6,go,day|Antiguilla|couple|water|park|ocean,val
7861,A group of friends is hanging out at a spa and some get massages.,14,2,4,hanging|get,group|friends|spa|massages,val
10107,Woman is wearing a black shirt in front of a fireplace.,11,1,4,wearing,Woman|shirt|front|fireplace,val
158,A fire is poked at before vegetables are put in it.,11,2,2,poked|put,fire|vegetables,val
228,Man saws trunks of bamboo.,5,1,3,saws,Man|trunks|bamboo,val
2798,A man is cooking in a pot on an open fire.,11,1,3,cooking,man|pot|fire,val
1566,Woman talks in a parked car with her son over her shoulder.,12,2,4,talks|parked,Woman|car|son|shoulder,val
2583,Mother showing some peaches to her son and having chat,10,2,4,showing|having,Mother|peaches|son|chat,val
6117,"A toddler sits in his car seat, holding his yellow tablet.",11,2,4,sits|holding,toddler|car|seat|tablet,val
5587,A man is checking out a small animal burrowing in the grass.,12,1,4,checking,man|animal|burrowing|grass,val
6598,A man talks to the camera whilst walking along a roadside in a rural area.,15,2,4,talks|walking,man|camera|roadside|area,val
6863,A man speaks to the camera while he is wearing shades and black biker's helmet.,15,2,5,speaks|wearing,man|camera|shades|biker|helmet,val
9562,Police officer gives a interview in full uniform.,8,1,4,gives,Police|officer|interview|uniform,val
9619,Woman gives a speech to an assembly,7,1,3,gives,Woman|speech|assembly,val
10254,A cop is sitting for a interview in uniform.,9,1,3,sitting,cop|interview|uniform,val
3573,Man with pink top has a conversation with a woman in wicker chairs.,13,1,6,has,Man|top|conversation|woman|wicker|chairs,val
5651,Man in pink top eats fish.,6,1,2,eats,Man|fish,val
1271,A boy and girl interact with a clown in a mall.,11,1,4,interact,boy|girl|clown|mall,val
5168,A man in black is speaking to a camera on a moving train.,13,2,3,speaking|moving,man|camera|train,val
5257,A clown puts balloons onto a pump.,7,1,3,puts,clown|balloons|pump,val
8444,A young man talks and gestures with his hands while a woman watches him.,14,1,5,watches,man|talks|gestures|hands|woman,val
548,Man in striped shirt is wearing a orange lei.,9,1,3,wearing,Man|shirt|lei,val
1918,The three men are given leis and dance while they are greeted by musicians playing.,15,4,3,given|dance|greeted|playing,men|leis|musicians,val
2820,A group of men are running then stops and walks towards a car and rides in it.,17,3,4,running|walks|rides,group|men|stops|car,val
4468,Men in a car encouraging students on a sidewalk who are running.,12,2,4,encouraging|running,Men|car|students|sidewalk,val
5427,Vlogger gives a tour of their vacation rental.,8,1,4,gives,Vlogger|tour|vacation|rental,val
7604,Man is wearing shirt around one shoulder on the side of the road.,13,1,5,wearing,Man|shirt|shoulder|side|road,val
8008,Blonde man is walking past palm trees.,7,1,3,walking,man|palm|trees,val
41,Two men are playing in a professional ping pong match on a red court.,14,1,5,playing,men|ping|pong|match|court,val
76,Boys playing table tennis and filming,6,1,4,playing,Boys|table|tennis|filming,val
6065,Two guys are competing at table tennis.,7,1,3,competing,guys|table|tennis,val
7295,People are competing in a ping pong competition.,8,1,4,competing,People|ping|pong|competition,val
7581,People sit behind a desk during a press conference.,9,1,4,sit,People|desk|press|conference,val
10046,Man shows the video of police from his phone.,9,1,4,shows,Man|video|police|phone,val
1155,Video of a car in travel.,6,0,3,,Video|car|travel,val
3350,A woman with a selfie stick wades into bright green water and swims in it.,15,2,3,wades|swims,woman|stick|water,val
4378,A dash cam view of the car drive at night.,10,0,6,,dash|cam|view|car|drive|night,val
4921,A young woman holding a camera on her left hand while talking,12,2,3,holding|talking,woman|camera|hand,val
4957,A blond woman is talking next to a clock on the wall behind her.,14,1,3,talking,woman|clock|wall,val
6156,A young woman shows her poppin' outfit consisting of super-ripped jeans and a thin holey top,16,3,6,shows|consisting|ripped,woman|poppin|outfit|jeans|holey|top,val
6978,Dash cam view of a car driving to a tunnel.,10,1,5,driving,Dash|cam|view|car|tunnel,val
7404,A family stops a their car to look at a grazing herd on a lush field.,16,2,4,stops|look,family|car|herd|field,val
898,Woman in black rides escalators.,5,0,3,,Woman|rides|escalators,val
2220,Man in black top walks through glass store walkway.,9,1,5,walks,Man|top|glass|store|walkway,val
4652,A woman is sitting at a bar by a big sandwich and she starts to eat it.,17,3,3,sitting|starts|eat,woman|bar|sandwich,val
8967,Group of people watch a fight.,6,1,3,watch,Group|people|fight,val
2800,A woman is holding a baby who keeps on pointing at different directions.,13,3,3,holding|keeps|pointing,woman|baby|directions,val
3622,A toddler meets cartoon characters.,5,1,3,meets,toddler|cartoon|characters,val
4425,Mother holds her daughter in her arms in a gold room.,11,1,5,holds,Mother|daughter|arms|gold|room,val
4738,Mickey mouse and a costume pink bunny are interacting with a baby held by a mother.,16,2,6,interacting|held,Mickey|mouse|costume|bunny|baby|mother,val
6282,"After a tiring trip, a young mother and her family finally reach their hotel with a nice waterfront night view",20,1,7,reach,trip|mother|family|hotel|waterfront|night|view,val
7277,A baby is eating from a large platter of french fries on a black tray.,15,1,4,eating,baby|platter|fries|tray,val
8263,Baby is strapped in a carrier riding a elevator.,9,2,3,strapped|riding,Baby|carrier|elevator,val
8425,A woman in green blouse and her babe are being recorded while sitting on the chair,16,2,4,recorded|sitting,woman|blouse|babe|chair,val
525,Two men are looking at tools in Home Depot.,9,1,4,looking,men|tools|Home|Depot,val
3874,An excited man plays with his bird and dog,9,1,3,plays,man|bird|dog,val
4029,Young man has his foot above the glove compartment of a car,12,1,5,has,man|foot|glove|compartment|car,val
6939,Blonde man eats shirtless next to his friend.,8,1,3,eats,man|shirtless|friend,val
8872,Two boys are eating and talking,6,2,1,eating|talking,boys,val
3603,Woman fixes her hair at different times.,7,1,3,fixes,Woman|hair|times,val
3900,Women get ice cream and eat it in the car.,10,2,4,get|eat,Women|ice|cream|car,val
4719,Woman goes through her beauty routine.,6,1,3,goes,Woman|beauty|routine,val
5703,It is sunset at the beach.,6,0,2,,sunset|beach,val
6166,A woman in a black bikini and light blue flippers is swimming in the sea.,15,1,4,swimming,woman|bikini|flippers|sea,val
6950,"A young woman reading in bed finally finishes the book ""Atomic Habits"" after many months and really liked it",19,3,6,reading|finishes|liked,woman|bed|book|Atomic|Habits|months,val
8108,A woman is looking through a clear plastic container with different clothes in it.,14,1,3,looking,woman|container|clothes,val
9073,Woman holds up a book lying in bed.,8,2,3,holds|lying,Woman|book|bed,val
4427,Woman has a photoshoot of flowers.,6,1,3,has,Woman|photoshoot|flowers,val
4627,Woman in black top stands between a bookcase and a plant.,11,1,4,stands,Woman|top|bookcase|plant,val
5690,The screen gives their social media handles.,7,1,3,gives,screen|media|handles,val
2363,Different store fronts are shown in a mall area.,9,1,4,shown,store|fronts|mall|area,val
5566,Vloggers give a tour of a indoor mall.,8,1,3,give,Vloggers|tour|mall,val
7622,A couple is showing the huge shopping mall,8,1,3,showing,couple|shopping|mall,val
2386,Shirtless man is wearing a comically large hat by a pool.,11,1,4,wearing,Shirtless|man|hat|pool,val
4178,Woman hangs out on the balcony and shows the view.,10,2,3,hangs|shows,Woman|balcony|view,val
6729,A woman in a sun hat relaxes in an overflowing pool at the hotel.,14,1,5,relaxes,woman|sun|hat|pool|hotel,val
9173,"A man wearing a black sweater near a river, talking about bad weather and flooding.",15,2,5,wearing|talking,man|sweater|river|weather|flooding,val
9512,A mob of people and polices are fighting against each other.,11,1,3,fighting,mob|people|polices,val
3077,Girl showing awesome scene from tour,6,1,3,showing,Girl|scene|tour,val
5802,A woman puts her hands in Bing Crosby's handprints in front of the Chinese Theater in Hollywood.,17,1,9,puts,woman|hands|Bing|Crosby|handprints|front|Chinese|Theater|Hollywood,val
7770,Blonde woman gets a glass of fried chicken and fries and eats it.,13,2,4,gets|eats,woman|glass|chicken|fries,val
2323,A girl's day routine on a Saturday,7,0,4,,girl|day|routine|Saturday,val
3530,A girl doing her face make up,7,2,2,doing|make,girl|face,val
4391,Asian woman eats her lunch.,5,1,2,eats,woman|lunch,val
9119,A young woman sitting with her legs folded up talks about an activity where they really defined the whole scope of emotions,22,3,6,sitting|folded|defined,woman|legs|talks|activity|scope|emotions,val
66,Graduates pose for the camera.,5,1,2,pose,Graduates|camera,val
1323,A girl getting her face and hair done by a professional,11,2,3,getting|done,girl|face|hair,val
4831,Group of graduates in red pose for pictures.,8,0,4,,Group|graduates|pose|pictures,val
7264,Graduates are standing in a group together.,7,1,2,standing,Graduates|group,val
9207,A man reporting from outside of a destroyed house,9,2,2,reporting|destroyed,man|house,val
9367,A big crowd marching near a park,7,0,3,,crowd|marching|park,val
3042,Bearded man sits next to a gold lamp in his hotel room.,12,1,5,sits,man|gold|lamp|hotel|room,val
7768,Men talk while holding beer steins.,6,2,3,talk|holding,Men|beer|steins,val
8144,Woman walks down the street with her Instragram handle showing below.,11,2,4,walks|showing,Woman|street|Instragram|handle,val
9277,A blonde woman in beige suite and white blouse is talking in front of a camera,16,1,5,talking,woman|suite|blouse|front|camera,val
1999,A woman in pink head scarf is buying a grilled corn from a stall near Jummah Prayer and eating it.,20,3,7,buying|grilled|eating,woman|head|scarf|corn|stall|Jummah|Prayer,val
6885,A woman stands before a mirror and discusses her pink outfit.,11,2,3,stands|discusses,woman|mirror|outfit,val
8154,Chef sets a dish on fire.,6,1,3,sets,Chef|dish|fire,val
8987,women show the Bollywood walk of fame,7,1,4,show,women|Bollywood|walk|fame,val
601,Man talks to the camera under candlelight.,7,1,3,talks,Man|camera|candlelight,val
912,Man and woman have a conversation in the back of a blue car.,13,1,5,have,Man|woman|conversation|back|car,val
1805,A man trying a sugar free fruit juice in a local shop,12,1,5,trying,man|sugar|fruit|juice|shop,val
1813,Man in striped shirt helps the girl shop for clothes.,10,1,5,helps,Man|shirt|girl|shop|clothes,val
2364,A traveler girl experiences heartbreak at a Japanese mall dress shop,11,1,6,heartbreak,traveler|girl|experiences|mall|dress|shop,val
3378,A woman in red T-shirt is talking behind a huge stair case.,12,1,5,talking,woman|T|shirt|stair|case,val
840,Vlogger gives a tour of their bedroom.,7,1,3,gives,Vlogger|tour|bedroom,val
3456,A lady in a black sweater points at different buildings.,10,0,4,,lady|sweater|points|buildings,val
4495,Hand points to different makeup samples.,6,1,3,points,Hand|makeup|samples,val
9651,A video showing people in the desert,7,1,3,showing,video|people|desert,val
9758,A woman in a hijab is interviewed by a reporter at a hospital where her son is being cared for.,20,2,5,interviewed|cared,woman|hijab|reporter|hospital|son,val
10307,Man pets camel before he is interviewed.,7,2,2,pets|interviewed,Man|camel,val
251,Man is giving a press conference in between corporate logos.,10,1,4,giving,Man|press|conference|logos,val
561,A soccer play is giving a press conference in front of jeep and adidas logos.,15,1,7,giving,soccer|play|press|conference|front|adidas|logos,val
5277,Man gives a press conference between corporate logos.,8,1,4,gives,Man|press|conference|logos,val
759,Woman wears a black mask in the hotel room.,9,1,4,wears,Woman|mask|hotel|room,val
4295,Vlogger shows off the food they ate at various restaurants.,10,2,3,shows|ate,Vlogger|food|restaurants,val
5672,A large buffet is on a table.,7,0,2,,buffet|table,val
949,Man is wearing a red scarf and white top.,9,1,3,wearing,Man|scarf|top,val
1067,People do skateboarding tricks in a city.,7,2,3,do|skateboarding,People|tricks|city,val
3254,Old vehicles are on display in a museum.,8,0,3,,vehicles|display|museum,val
1891,The view of the top of the building during the day.,11,0,4,,view|top|building|day,val
3064,A couple go to Monestary Beach to sunbathe and see the sights,12,3,4,go|sunbathe|see,couple|Monestary|Beach|sights,val
4235,A driver is showing their view under water.,8,1,3,showing,driver|view|water,val
2646,"A woman makes a bathroom look nice with cleaning, arrangement, and a lit candle",14,3,5,makes|look|lit,woman|bathroom|cleaning|arrangement|candle,val
4217,A woman cleans the bathroom.,5,1,2,cleans,woman|bathroom,val
5266,A person in a dark top uses a henna pen to draw and intricate pattern on the back of the fingers of their left hand in a sped-up video,29,3,9,uses|draw|sped,person|top|henna|pen|pattern|back|fingers|hand|video,val
6107,Man gets a tattoo on his forearm.,7,1,2,gets,Man|forearm,val
7223,A woman is showing her blue luxury handbag.,8,1,3,showing,woman|luxury|handbag,val
7533,Woman loads clothes into a suitcase.,6,1,3,loads,Woman|clothes|suitcase,val
7691,Man gets a tattoo on his hand.,7,1,2,gets,Man|hand,val
8028,Man is getting a tattoo on their forearm.,8,1,2,getting,Man|forearm,val
1571,Girl trying new product and giving review on,8,2,3,trying|giving,Girl|product|review,val
2469,Girl having some healthy breakfast,5,1,2,having,Girl|breakfast,val
4973,A woman in white is holding up a black swewater with white stars on it.,15,1,4,holding,woman|white|swewater|stars,val
8298,A woman talks in the mirror wearing a black to with white stars.,13,2,4,talks|wearing,woman|mirror|black|stars,val
8315,a woman addresses the camera while driving,7,2,2,addresses|driving,woman|camera,val
9471,A black man is being escorted from a black SUV on the side of the road by police officers.,19,1,6,escorted,man|SUV|side|road|police|officers,val
2448,A guy eating food on his couch,7,1,3,eating,guy|food|couch,val
6252,Man stands behind a counter with a large plate of food.,11,1,4,stands,Man|counter|plate|food,val
7367,A man in black top is showing his black and white shorts from a backpack.,15,1,4,showing,man|top|shorts|backpack,val
8792,a man holding a coffee mug.,6,1,3,holding,man|coffee|mug,val
1959,Girls are enjoying drinks and meal at hotel,8,1,4,enjoying,Girls|drinks|meal|hotel,val
5613,A woman is examining a grilled cheese sandwich that she ordered.,11,3,3,examining|grilled|ordered,woman|cheese|sandwich,val
5644,Woman does her beauty routine in the mirror.,8,1,4,does,Woman|beauty|routine|mirror,val
939,Masked man walks around a city.,6,1,2,walks,man|city,val
5378,Masked man walks down the street at night.,8,1,3,walks,man|street|night,val
6798,A man is looking at tree like pillars decorated with yellow lights.,12,2,4,looking|decorated,man|tree|pillars|lights,val
9035,Man points out different areas in a square.,8,1,3,points,Man|areas|square,val
5568,A woman applies makeup while sitting in a car.,9,2,3,applies|sitting,woman|makeup|car,val
6469,A modal is taking pictures with her fans,8,1,3,taking,modal|pictures|fans,val
1312,"A happy couple takes their happy baby to a tree-lined riverside on a beautify sunny, windy, and cold day",19,2,5,takes|lined,couple|baby|tree|riverside|day,val
4061,They are driving through a somewhat green desert while music plays.,11,2,2,driving|plays,desert|music,val
5239,A woman talks to the camera whilst riding on a coach.,11,2,3,talks|riding,woman|camera|coach,val
7183,Man holds his kid in his arms.,7,1,3,holds,Man|kid|arms,val
7454,Water is running through a stream.,6,1,2,running,Water|stream,val
1360,A few cars are in a parking lot.,8,0,3,,cars|parking|lot,val
1568,The two men are speaking while driving to their hotel.,10,2,2,speaking|driving,men|hotel,val
2742,Someone filming an airport parking lot and approaching a commercial building.,11,2,4,filming|approaching,airport|parking|lot|building,val
7332,People are recording an airport runway with planes taking off,10,2,4,recording|taking,People|airport|runway|planes,val
7567,Two man in matching blue sweatshirts eat mcdonalds and walk together after.,12,3,3,matching|eat|walk,man|sweatshirts|mcdonalds,val
1875,Tourist vlogger showing beautiful hotel building and sunset,8,1,5,showing,Tourist|vlogger|hotel|building|sunset,val
4671,A woman is arriving at a luxurious hotel with black marble covering all the walls.,15,2,4,arriving|covering,woman|hotel|marble|walls,val
5407,Woman shows off her bikini.,5,1,2,shows,Woman|bikini,val
1909,A tourist in New York stops by a diner and a coffee shop,13,0,7,,tourist|New|York|stops|diner|coffee|shop,val
5748,"Blonde woman holds the camera up to the mirror while talking,",11,2,3,holds|talking,woman|camera|mirror,val
6393,A blonde woman is speaking from the top of a building showing off the views.,15,2,4,speaking|showing,woman|top|building|views,val
9369,People are protesting in Armenia against government,7,1,3,protesting,People|Armenia|government,val
9267,A weather woman is motioning to show a large storm coming in on the map.,15,3,4,motioning|show|coming,weather|woman|storm|map,val
10203,Mike Pence is sitting in front of a blue background.,10,1,4,sitting,Mike|Pence|front|background,val
10240,Mike Pence speaks in front of a blue background with words on it.,13,1,5,speaks,Mike|Pence|front|background|words,val
2445,A lady making and eating a bread sandwich with egg,10,1,5,eating,lady|making|bread|sandwich|egg,val
