qid,vid,duration,gt_start,gt_end,gt_length,gt_center,norm_gt_center,pred_start,pred_end,pred_length,pred_center,norm_pred_center,iou,length_bucket,position_bucket
10029,pA6Z-qYhSNg_360.0_510.0,150,110,124,14,117.0,0.78,76.0,94.0,18.0,85.0,0.5666666666666667,0.0,medium,late
10049,pA6Z-qYhSNg_210.0_360.0,150,96,118,22,107.0,0.7133333333333334,90.0,118.0,28.0,104.0,0.6933333333333334,0.7857142857142857,medium,late
1872,zVwsEVwS8Kw_210.0_360.0,150,122,132,10,127.0,0.8466666666666667,130.0,150.0,20.0,140.0,0.9333333333333333,0.5,medium,late
3389,zVwsEVwS8Kw_60.0_210.0,150,102,104,2,103.0,0.6866666666666666,102.0,150.0,48.0,126.0,0.84,0.875,short,late
8014,zVwsEVwS8Kw_360.0_510.0,150,66,96,30,81.0,0.54,70.0,98.0,28.0,84.0,0.56,0.8125,long,middle
3183,YIUaJzjNPuo_360.0_510.0,150,40,86,46,63.0,0.42,40.0,74.0,34.0,57.0,0.38,0.7391304347826086,long,middle
3407,YIUaJzjNPuo_60.0_210.0,150,0,140,140,70.0,0.4666666666666667,8.0,58.0,50.0,33.0,0.22,0.35714285714285715,long,middle
3525,YIUaJzjNPuo_210.0_360.0,150,26,50,24,38.0,0.25333333333333335,26.0,46.0,20.0,36.0,0.24,0.8333333333333334,medium,early
3403,GAUdBAL0K5A_210.0_360.0,150,90,112,22,101.0,0.6733333333333333,102.0,150.0,48.0,126.0,0.84,0.16666666666666666,medium,late
4508,GAUdBAL0K5A_60.0_210.0,150,104,126,22,115.0,0.7666666666666667,106.0,124.0,18.0,115.0,0.7666666666666667,0.8181818181818182,medium,late
5612,GAUdBAL0K5A_360.0_510.0,150,10,26,16,18.0,0.12,10.0,26.0,16.0,18.0,0.12,1.0,medium,early
9280,jv7033VUyHE_60.0_210.0,150,0,150,150,75.0,0.5,0.0,150.0,150.0,75.0,0.5,1.0,long,middle
721,yId2wIocTys_60.0_210.0,150,134,148,14,141.0,0.94,126.0,150.0,24.0,138.0,0.92,0.5833333333333334,medium,late
1870,yId2wIocTys_210.0_360.0,150,0,22,22,11.0,0.07333333333333333,4.0,18.0,14.0,11.0,0.07333333333333333,0.6363636363636364,medium,early
2276,yId2wIocTys_360.0_510.0,150,4,28,24,16.0,0.10666666666666667,8.0,26.0,18.0,17.0,0.11333333333333333,0.75,medium,early
342,A_MFAuOwK5k_360.0_510.0,150,16,36,20,26.0,0.17333333333333334,8.0,38.0,30.0,23.0,0.15333333333333332,0.6666666666666666,medium,early
1751,A_MFAuOwK5k_210.0_360.0,150,100,126,26,113.0,0.7533333333333333,100.0,150.0,50.0,125.0,0.8333333333333334,0.52,medium,late
6083,A_MFAuOwK5k_60.0_210.0,150,80,96,16,88.0,0.5866666666666667,84.0,150.0,66.0,117.0,0.78,0.17142857142857143,medium,middle
7484,A_MFAuOwK5k_510.0_660.0,150,4,22,18,13.0,0.08666666666666667,6.0,38.0,32.0,22.0,0.14666666666666667,0.47058823529411764,medium,early
3001,cJ8kzdeoevg_210.0_360.0,150,8,30,22,19.0,0.12666666666666668,132.0,150.0,18.0,141.0,0.94,1.0,medium,early
5584,cJ8kzdeoevg_360.0_510.0,150,100,104,4,102.0,0.68,114.0,150.0,36.0,132.0,0.88,0.6111111111111112,short,late
6746,cJ8kzdeoevg_60.0_210.0,150,74,108,34,91.0,0.6066666666666667,74.0,110.0,36.0,92.0,0.6133333333333333,0.9444444444444444,long,middle
9796,J_6fDCo1REI_60.0_210.0,150,126,140,14,133.0,0.8866666666666667,48.0,62.0,14.0,55.0,0.36666666666666664,0.0,medium,late
2585,Jz1Cszaqck0_360.0_510.0,150,116,140,24,128.0,0.8533333333333334,126.0,150.0,24.0,138.0,0.92,0.4117647058823529,medium,late
3739,Jz1Cszaqck0_60.0_210.0,150,0,20,20,10.0,0.06666666666666667,0.0,18.0,18.0,9.0,0.06,0.9,medium,early
4854,Jz1Cszaqck0_210.0_360.0,150,24,32,8,28.0,0.18666666666666668,80.0,100.0,20.0,90.0,0.6,0.8,short,early
7218,Jz1Cszaqck0_660.0_810.0,150,60,84,24,72.0,0.48,52.0,68.0,16.0,60.0,0.4,0.25,medium,middle
8721,Jz1Cszaqck0_510.0_660.0,150,32,90,58,61.0,0.4066666666666667,42.0,70.0,28.0,56.0,0.37333333333333335,0.4827586206896552,long,middle
3069,FL0Cos34RjU_60.0_210.0,150,58,150,92,104.0,0.6933333333333334,100.0,148.0,48.0,124.0,0.8266666666666667,0.5217391304347826,long,late
4275,FL0Cos34RjU_360.0_510.0,150,116,150,34,133.0,0.8866666666666667,116.0,150.0,34.0,133.0,0.8866666666666667,1.0,long,late
7735,FL0Cos34RjU_210.0_360.0,150,134,148,14,141.0,0.94,126.0,146.0,20.0,136.0,0.9066666666666666,0.5454545454545454,medium,late
4875,IdpHJK90VDw_360.0_510.0,150,0,24,24,12.0,0.08,0.0,22.0,22.0,11.0,0.07333333333333333,0.9166666666666666,medium,early
4887,IdpHJK90VDw_60.0_210.0,150,68,132,64,100.0,0.6666666666666666,120.0,150.0,30.0,135.0,0.9,0.14634146341463414,long,middle
6213,IdpHJK90VDw_210.0_360.0,150,88,150,62,119.0,0.7933333333333333,2.0,38.0,36.0,20.0,0.13333333333333333,0.0,long,late
7002,IdpHJK90VDw_510.0_660.0,150,82,84,2,83.0,0.5533333333333333,0.0,22.0,22.0,11.0,0.07333333333333333,0.0,short,middle
7555,IdpHJK90VDw_660.0_810.0,150,94,112,18,103.0,0.6866666666666666,108.0,148.0,40.0,128.0,0.8533333333333334,0.07407407407407407,medium,late
2433,uoVRb7a58GU_60.0_210.0,150,0,32,32,16.0,0.10666666666666667,0.0,32.0,32.0,16.0,0.10666666666666667,1.0,long,early
3584,uoVRb7a58GU_210.0_360.0,150,104,118,14,111.0,0.74,22.0,72.0,50.0,47.0,0.31333333333333335,0.0,medium,late
4023,uoVRb7a58GU_360.0_510.0,150,28,130,102,79.0,0.5266666666666666,54.0,134.0,80.0,94.0,0.6266666666666667,0.7169811320754716,long,middle
1961,wUgPzvcKK5c_210.0_360.0,150,78,108,30,93.0,0.62,84.0,110.0,26.0,97.0,0.6466666666666666,0.75,long,middle
4419,wUgPzvcKK5c_360.0_510.0,150,30,150,120,90.0,0.6,42.0,150.0,108.0,96.0,0.64,0.9,long,middle
5915,wUgPzvcKK5c_60.0_210.0,150,88,124,36,106.0,0.7066666666666667,92.0,126.0,34.0,109.0,0.7266666666666667,0.8421052631578947,long,late
1276,8yHwJ3f7Fi4_360.0_510.0,150,8,22,14,15.0,0.1,8.0,22.0,14.0,15.0,0.1,1.0,medium,early
2960,8yHwJ3f7Fi4_210.0_360.0,150,8,30,22,19.0,0.12666666666666668,104.0,120.0,16.0,112.0,0.7466666666666667,0.0,medium,early
4792,8yHwJ3f7Fi4_60.0_210.0,150,58,82,24,70.0,0.4666666666666667,100.0,126.0,26.0,113.0,0.7533333333333333,0.2,medium,middle
8462,8yHwJ3f7Fi4_510.0_660.0,150,14,16,2,15.0,0.1,32.0,46.0,14.0,39.0,0.26,0.42857142857142855,short,early
1264,KWBfQjuwp4E_60.0_210.0,150,0,72,72,36.0,0.24,2.0,150.0,148.0,76.0,0.5066666666666667,0.4666666666666667,long,early
1505,KWBfQjuwp4E_210.0_360.0,150,0,138,138,69.0,0.46,0.0,144.0,144.0,72.0,0.48,0.9583333333333334,long,middle
635,xtaVwcSitCo_210.0_360.0,150,94,96,2,95.0,0.6333333333333333,98.0,114.0,16.0,106.0,0.7066666666666667,0.5,short,middle
5488,xtaVwcSitCo_60.0_210.0,150,100,116,16,108.0,0.72,102.0,120.0,18.0,111.0,0.74,0.7,medium,late
8187,xtaVwcSitCo_360.0_510.0,150,24,46,22,35.0,0.23333333333333334,102.0,126.0,24.0,114.0,0.76,0.0,medium,early
942,T60_zAvnAsU_360.0_510.0,150,34,54,20,44.0,0.29333333333333333,38.0,56.0,18.0,47.0,0.31333333333333335,0.7272727272727273,medium,early
4691,T60_zAvnAsU_210.0_360.0,150,42,74,32,58.0,0.38666666666666666,124.0,150.0,26.0,137.0,0.9133333333333333,0.0,long,middle
8052,T60_zAvnAsU_60.0_210.0,150,96,118,22,107.0,0.7133333333333334,12.0,44.0,32.0,28.0,0.18666666666666668,0.0,medium,late
1136,n_NdBRz6Z1E_210.0_360.0,150,44,48,4,46.0,0.30666666666666664,56.0,70.0,14.0,63.0,0.42,0.0,short,early
1874,n_NdBRz6Z1E_360.0_510.0,150,120,142,22,131.0,0.8733333333333333,120.0,140.0,20.0,130.0,0.8666666666666667,0.9090909090909091,medium,late
5510,n_NdBRz6Z1E_60.0_210.0,150,106,120,14,113.0,0.7533333333333333,110.0,118.0,8.0,114.0,0.76,0.5714285714285714,medium,late
4283,Z3-IZ3HAmIA_360.0_510.0,150,126,150,24,138.0,0.92,32.0,136.0,104.0,84.0,0.56,0.0847457627118644,medium,late
4548,Z3-IZ3HAmIA_210.0_360.0,150,96,130,34,113.0,0.7533333333333333,94.0,128.0,34.0,111.0,0.74,0.8888888888888888,long,late
7990,Z3-IZ3HAmIA_60.0_210.0,150,98,122,24,110.0,0.7333333333333333,100.0,122.0,22.0,111.0,0.74,0.9166666666666666,medium,late
9462,opM6YIx3gA8_60.0_210.0,150,6,18,12,12.0,0.08,48.0,60.0,12.0,54.0,0.36,0.5,medium,early
9774,PXj6QOKJ_5Q_60.0_210.0,144,0,14,14,7.0,0.04861111111111111,76.0,90.0,14.0,83.0,0.5763888888888888,0.0,medium,early
2435,-_s0sXOfS3w_210.0_360.0,150,0,28,28,14.0,0.09333333333333334,2.0,58.0,56.0,30.0,0.2,0.4482758620689655,medium,early
2875,-_s0sXOfS3w_360.0_510.0,150,0,62,62,31.0,0.20666666666666667,2.0,58.0,56.0,30.0,0.2,0.9032258064516129,long,early
3938,-_s0sXOfS3w_60.0_210.0,150,114,140,26,127.0,0.8466666666666667,32.0,148.0,116.0,90.0,0.6,0.22413793103448276,medium,late
8312,-_s0sXOfS3w_510.0_660.0,150,66,90,24,78.0,0.52,0.0,56.0,56.0,28.0,0.18666666666666668,0.0,medium,middle
9979,B7bTx5l-N8I_60.0_210.0,150,20,24,4,22.0,0.14666666666666667,38.0,84.0,46.0,61.0,0.4066666666666667,0.391304347826087,short,early
2658,PS5rtWdxn3A_210.0_360.0,150,90,102,12,96.0,0.64,106.0,132.0,26.0,119.0,0.7933333333333333,0.4666666666666667,medium,middle
3826,PS5rtWdxn3A_60.0_210.0,150,34,36,2,35.0,0.23333333333333334,60.0,74.0,14.0,67.0,0.44666666666666666,0.2857142857142857,short,early
5353,PS5rtWdxn3A_360.0_510.0,150,6,8,2,7.0,0.04666666666666667,12.0,58.0,46.0,35.0,0.23333333333333334,0.13043478260869565,short,early
8341,PS5rtWdxn3A_510.0_660.0,150,0,128,128,64.0,0.4266666666666667,10.0,134.0,124.0,72.0,0.48,0.8805970149253731,long,middle
8628,PS5rtWdxn3A_660.0_810.0,150,0,88,88,44.0,0.29333333333333333,50.0,80.0,30.0,65.0,0.43333333333333335,0.3409090909090909,long,early
3915,izeyQalOwGg_60.0_210.0,150,6,10,4,8.0,0.05333333333333334,6.0,20.0,14.0,13.0,0.08666666666666667,0.2857142857142857,short,early
6240,izeyQalOwGg_210.0_360.0,128,80,88,8,84.0,0.65625,0.0,10.0,10.0,5.0,0.0390625,0.0,short,middle
298,KQyJtq52Jcw_60.0_210.0,150,34,48,14,41.0,0.2733333333333333,16.0,26.0,10.0,21.0,0.14,0.0,medium,early
2851,KQyJtq52Jcw_210.0_360.0,150,0,70,70,35.0,0.23333333333333334,4.0,54.0,50.0,29.0,0.19333333333333333,0.7142857142857143,long,early
5256,KQyJtq52Jcw_360.0_510.0,150,24,58,34,41.0,0.2733333333333333,8.0,26.0,18.0,17.0,0.11333333333333333,0.04,long,early
7527,KQyJtq52Jcw_660.0_810.0,128,0,18,18,9.0,0.0703125,0.0,18.0,18.0,9.0,0.0703125,1.0,medium,early
8671,KQyJtq52Jcw_510.0_660.0,150,48,52,4,50.0,0.3333333333333333,90.0,138.0,48.0,114.0,0.76,0.45454545454545453,short,middle
4707,_ufoIeYZYjw_210.0_360.0,150,104,112,8,108.0,0.72,54.0,86.0,32.0,70.0,0.4666666666666667,0.0,short,late
6337,_ufoIeYZYjw_360.0_510.0,150,30,150,120,90.0,0.6,16.0,34.0,18.0,25.0,0.16666666666666666,0.029850746268656716,long,middle
7940,_ufoIeYZYjw_60.0_210.0,150,108,132,24,120.0,0.8,88.0,116.0,28.0,102.0,0.68,0.18181818181818182,medium,late
9053,_ufoIeYZYjw_660.0_810.0,150,54,70,16,62.0,0.41333333333333333,48.0,68.0,20.0,58.0,0.38666666666666666,0.6363636363636364,medium,middle
2132,ZWldnViJ4iY_210.0_360.0,150,0,150,150,75.0,0.5,0.0,148.0,148.0,74.0,0.49333333333333335,0.9866666666666667,long,middle
3054,ZWldnViJ4iY_60.0_210.0,150,0,150,150,75.0,0.5,0.0,146.0,146.0,73.0,0.4866666666666667,0.9733333333333334,long,middle
8193,ZWldnViJ4iY_360.0_510.0,150,22,132,110,77.0,0.5133333333333333,18.0,86.0,68.0,52.0,0.3466666666666667,0.5614035087719298,long,middle
4758,MmGtg0qgceA_60.0_210.0,150,0,44,44,22.0,0.14666666666666667,64.0,76.0,12.0,70.0,0.4666666666666667,0.0,long,early
6807,MmGtg0qgceA_210.0_360.0,150,134,150,16,142.0,0.9466666666666667,124.0,150.0,26.0,137.0,0.9133333333333333,0.6153846153846154,medium,late
7653,MmGtg0qgceA_360.0_510.0,150,24,60,36,42.0,0.28,28.0,78.0,50.0,53.0,0.35333333333333333,0.5925925925925926,long,early
9692,DTInxNfWXVc_60.0_210.0,150,0,16,16,8.0,0.05333333333333334,0.0,16.0,16.0,8.0,0.05333333333333334,1.0,medium,early
9899,DTInxNfWXVc_210.0_360.0,150,2,34,32,18.0,0.12,4.0,150.0,146.0,77.0,0.5133333333333333,0.20270270270270271,long,early
10189,DTInxNfWXVc_360.0_510.0,150,0,22,22,11.0,0.07333333333333333,0.0,48.0,48.0,24.0,0.16,0.4583333333333333,medium,early
2244,6Mzo1y19iTU_60.0_210.0,150,12,32,20,22.0,0.14666666666666667,18.0,30.0,12.0,24.0,0.16,0.6,medium,early
5862,6Mzo1y19iTU_210.0_360.0,150,22,24,2,23.0,0.15333333333333332,62.0,72.0,10.0,67.0,0.44666666666666666,0.3333333333333333,short,early
7924,6Mzo1y19iTU_360.0_510.0,150,128,146,18,137.0,0.9133333333333333,128.0,144.0,16.0,136.0,0.9066666666666666,0.8888888888888888,medium,late
538,x4kKIm8WWOA_210.0_360.0,150,40,76,36,58.0,0.38666666666666666,0.0,78.0,78.0,39.0,0.26,0.46153846153846156,long,middle
3834,x4kKIm8WWOA_60.0_210.0,150,122,150,28,136.0,0.9066666666666666,124.0,150.0,26.0,137.0,0.9133333333333333,0.9285714285714286,medium,late
5331,x4kKIm8WWOA_360.0_510.0,150,124,150,26,137.0,0.9133333333333333,110.0,150.0,40.0,130.0,0.8666666666666667,0.65,medium,late
7547,x4kKIm8WWOA_660.0_810.0,150,0,44,44,22.0,0.14666666666666667,8.0,44.0,36.0,26.0,0.17333333333333334,0.8181818181818182,long,early
8370,x4kKIm8WWOA_510.0_660.0,150,76,150,74,113.0,0.7533333333333333,70.0,150.0,80.0,110.0,0.7333333333333333,0.925,long,late
255,geklhsKfw7I_60.0_210.0,150,106,130,24,118.0,0.7866666666666666,104.0,136.0,32.0,120.0,0.8,0.75,medium,late
5084,geklhsKfw7I_210.0_360.0,150,8,22,14,15.0,0.1,16.0,140.0,124.0,78.0,0.52,0.045454545454545456,medium,early
993,fOU0-2bBRnU_60.0_210.0,150,98,116,18,107.0,0.7133333333333334,100.0,116.0,16.0,108.0,0.72,0.8888888888888888,medium,late
2043,fOU0-2bBRnU_360.0_510.0,150,38,60,22,49.0,0.32666666666666666,38.0,70.0,32.0,54.0,0.36,0.6875,medium,early
2125,fOU0-2bBRnU_210.0_360.0,150,18,58,40,38.0,0.25333333333333335,22.0,56.0,34.0,39.0,0.26,0.85,long,early
1303,Nhelnhenn1w_360.0_510.0,150,24,40,16,32.0,0.21333333333333335,0.0,150.0,150.0,75.0,0.5,0.10666666666666667,medium,early
2511,Nhelnhenn1w_60.0_210.0,150,20,150,130,85.0,0.5666666666666667,2.0,150.0,148.0,76.0,0.5066666666666667,0.8783783783783784,long,middle
3793,Nhelnhenn1w_210.0_360.0,150,82,86,4,84.0,0.56,82.0,146.0,64.0,114.0,0.76,0.3235294117647059,short,middle
7285,Nhelnhenn1w_660.0_810.0,150,16,50,34,33.0,0.22,86.0,150.0,64.0,118.0,0.7866666666666666,0.0,long,early
7291,Nhelnhenn1w_510.0_660.0,150,116,150,34,133.0,0.8866666666666667,118.0,144.0,26.0,131.0,0.8733333333333333,0.7647058823529411,long,late
884,rrTIeJRVGjg_360.0_510.0,134,112,134,22,123.0,0.917910447761194,110.0,134.0,24.0,122.0,0.9104477611940298,0.9166666666666666,medium,late
2253,rrTIeJRVGjg_210.0_360.0,150,100,104,4,102.0,0.68,46.0,60.0,14.0,53.0,0.35333333333333333,0.0,short,late
5688,rrTIeJRVGjg_60.0_210.0,150,56,78,22,67.0,0.44666666666666666,116.0,138.0,22.0,127.0,0.8466666666666667,0.0,medium,middle
4413,aG3duH53XDs_210.0_360.0,150,108,120,12,114.0,0.76,134.0,148.0,14.0,141.0,0.94,0.8571428571428571,medium,late
6831,aG3duH53XDs_360.0_510.0,150,78,92,14,85.0,0.5666666666666667,90.0,130.0,40.0,110.0,0.7333333333333333,0.5,medium,middle
7861,aG3duH53XDs_60.0_210.0,150,30,50,20,40.0,0.26666666666666666,36.0,86.0,50.0,61.0,0.4066666666666667,0.25,medium,early
10107,Vrsl2ZU1LWg_60.0_210.0,150,0,34,34,17.0,0.11333333333333333,38.0,68.0,30.0,53.0,0.35333333333333333,0.6363636363636364,long,early
158,xUeRLu1o0v4_360.0_510.0,150,24,38,14,31.0,0.20666666666666667,102.0,140.0,38.0,121.0,0.8066666666666666,0.0,medium,early
228,xUeRLu1o0v4_60.0_210.0,150,88,92,4,90.0,0.6,86.0,104.0,18.0,95.0,0.6333333333333333,0.45454545454545453,short,middle
2798,xUeRLu1o0v4_210.0_360.0,150,120,144,24,132.0,0.88,120.0,140.0,20.0,130.0,0.8666666666666667,0.8333333333333334,medium,late
1566,h6QKDqomIPk_60.0_210.0,150,0,60,60,30.0,0.2,0.0,96.0,96.0,48.0,0.32,0.625,long,early
2583,h6QKDqomIPk_360.0_510.0,150,0,26,26,13.0,0.08666666666666667,0.0,26.0,26.0,13.0,0.08666666666666667,1.0,medium,early
6117,h6QKDqomIPk_210.0_360.0,150,108,122,14,115.0,0.7666666666666667,110.0,120.0,10.0,115.0,0.7666666666666667,0.7142857142857143,medium,late
5587,UFWQKrcbhjI_60.0_210.0,150,100,110,10,105.0,0.7,66.0,102.0,36.0,84.0,0.56,0.045454545454545456,medium,late
6598,UFWQKrcbhjI_360.0_510.0,150,0,48,48,24.0,0.16,0.0,48.0,48.0,24.0,0.16,1.0,long,early
6863,UFWQKrcbhjI_210.0_360.0,150,28,46,18,37.0,0.24666666666666667,30.0,46.0,16.0,38.0,0.25333333333333335,0.8888888888888888,medium,early
9562,Gwdizqh16JY_360.0_510.0,150,14,16,2,15.0,0.1,48.0,78.0,30.0,63.0,0.42,0.9375,short,early
9619,Gwdizqh16JY_60.0_210.0,150,132,150,18,141.0,0.94,132.0,150.0,18.0,141.0,0.94,1.0,medium,late
10254,Gwdizqh16JY_210.0_360.0,150,64,70,6,67.0,0.44666666666666666,76.0,90.0,14.0,83.0,0.5533333333333333,0.75,short,middle
3573,_NznSSfDxdo_210.0_360.0,150,122,150,28,136.0,0.9066666666666666,120.0,150.0,30.0,135.0,0.9,0.9333333333333333,medium,late
5651,_NznSSfDxdo_60.0_210.0,150,54,70,16,62.0,0.41333333333333333,58.0,68.0,10.0,63.0,0.42,0.625,medium,middle
1271,6aFvTqmnrJQ_210.0_360.0,150,92,128,36,110.0,0.7333333333333333,92.0,118.0,26.0,105.0,0.7,0.7222222222222222,long,late
5168,6aFvTqmnrJQ_60.0_210.0,150,68,92,24,80.0,0.5333333333333333,0.0,36.0,36.0,18.0,0.12,0.0,medium,middle
5257,6aFvTqmnrJQ_360.0_510.0,150,132,146,14,139.0,0.9266666666666666,136.0,150.0,14.0,143.0,0.9533333333333334,0.5555555555555556,medium,late
8444,6aFvTqmnrJQ_510.0_660.0,150,72,86,14,79.0,0.5266666666666666,90.0,148.0,58.0,119.0,0.7933333333333333,0.0,medium,middle
548,lwNho_1tKrc_60.0_210.0,150,2,28,26,15.0,0.1,24.0,42.0,18.0,33.0,0.22,0.5,medium,early
1918,lwNho_1tKrc_60.0_210.0,150,0,26,26,13.0,0.08666666666666667,0.0,26.0,26.0,13.0,0.08666666666666667,1.0,medium,early
2820,lwNho_1tKrc_210.0_360.0,150,0,18,18,9.0,0.06,0.0,18.0,18.0,9.0,0.06,1.0,medium,early
4468,lwNho_1tKrc_210.0_360.0,150,0,20,20,10.0,0.06666666666666667,20.0,44.0,24.0,32.0,0.21333333333333335,0.07142857142857142,medium,early
5427,O5RKn-qeIVI_60.0_210.0,150,30,108,78,69.0,0.46,18.0,50.0,32.0,34.0,0.22666666666666666,0.2222222222222222,long,middle
7604,O5RKn-qeIVI_210.0_360.0,150,62,86,24,74.0,0.49333333333333335,60.0,86.0,26.0,73.0,0.4866666666666667,0.9230769230769231,medium,middle
8008,O5RKn-qeIVI_360.0_510.0,150,56,80,24,68.0,0.4533333333333333,54.0,80.0,26.0,67.0,0.44666666666666666,0.9230769230769231,medium,middle
41,E6yFTWlChmE_60.0_210.0,150,12,48,36,30.0,0.2,2.0,40.0,38.0,21.0,0.14,0.6086956521739131,long,early
76,E6yFTWlChmE_210.0_360.0,150,48,82,34,65.0,0.43333333333333335,0.0,36.0,36.0,18.0,0.12,0.0,long,middle
6065,E6yFTWlChmE_360.0_510.0,150,98,150,52,124.0,0.8266666666666667,100.0,142.0,42.0,121.0,0.8066666666666666,0.8076923076923077,long,late
7295,E6yFTWlChmE_510.0_660.0,150,0,6,6,3.0,0.02,16.0,38.0,22.0,27.0,0.18,0.8461538461538461,short,early
7581,E6yFTWlChmE_660.0_810.0,150,88,142,54,115.0,0.7666666666666667,88.0,140.0,52.0,114.0,0.76,0.9629629629629629,long,late
10046,yutpAXhjMlI_60.0_210.0,134,66,80,14,73.0,0.5447761194029851,70.0,82.0,12.0,76.0,0.5671641791044776,0.625,medium,middle
1155,_t21xx94wZw_60.0_210.0,150,10,14,4,12.0,0.08,0.0,46.0,46.0,23.0,0.15333333333333332,0.2222222222222222,short,early
3350,_t21xx94wZw_210.0_360.0,150,38,70,32,54.0,0.36,82.0,106.0,24.0,94.0,0.6266666666666667,0.06666666666666667,long,middle
4378,_t21xx94wZw_360.0_510.0,150,90,116,26,103.0,0.6866666666666666,90.0,112.0,22.0,101.0,0.6733333333333333,0.8461538461538461,medium,late
4921,L9cUEhaXnK4_210.0_360.0,150,0,26,26,13.0,0.08666666666666667,0.0,26.0,26.0,13.0,0.08666666666666667,1.0,medium,early
4957,L9cUEhaXnK4_360.0_510.0,150,4,24,20,14.0,0.09333333333333334,0.0,22.0,22.0,11.0,0.07333333333333333,0.75,medium,early
6156,L9cUEhaXnK4_60.0_210.0,150,120,132,12,126.0,0.84,120.0,144.0,24.0,132.0,0.88,0.5,medium,late
6978,L9cUEhaXnK4_510.0_660.0,150,122,150,28,136.0,0.9066666666666666,114.0,150.0,36.0,132.0,0.88,0.7777777777777778,medium,late
7404,L9cUEhaXnK4_660.0_810.0,150,54,92,38,73.0,0.4866666666666667,0.0,62.0,62.0,31.0,0.20666666666666667,0.08695652173913043,long,middle
898,_i9qWLsZToY_60.0_210.0,150,122,134,12,128.0,0.8533333333333334,120.0,130.0,10.0,125.0,0.8333333333333334,0.5714285714285714,medium,late
2220,_i9qWLsZToY_210.0_360.0,150,14,38,24,26.0,0.17333333333333334,16.0,38.0,22.0,27.0,0.18,0.9166666666666666,medium,early
4652,_i9qWLsZToY_360.0_510.0,150,122,150,28,136.0,0.9066666666666666,122.0,150.0,28.0,136.0,0.9066666666666666,1.0,medium,late
8967,_i9qWLsZToY_660.0_810.0,128,104,108,4,106.0,0.828125,112.0,124.0,12.0,118.0,0.921875,0.8333333333333334,short,late
